logz logzerr logvol nlive logl logwt insert_order
-1.701386431168771535e+07 1.746178199058963801e+05 -1.480000000000001037e-01 1.000000000000000000e+03 -1.700665793677114323e+07 -1.700666499302637950e+07 1.400000000000000029e-02
-1.700666499302637950e+07 1.553052255942676857e+05 -1.490000000000001046e-01 1.000000000000000000e+03 -1.693684726591529697e+07 -1.693685432317053527e+07 1.645999999999999908e+00
-1.693685432317053527e+07 1.475782892821450369e+05 -1.500000000000001055e-01 1.000000000000000000e+03 -1.692959462415360659e+07 -1.692960168240884319e+07 1.098000000000000087e+00
-1.692960168240884319e+07 2.702983330136435143e+03 -1.510000000000001064e-01 1.000000000000000000e+03 -1.658019775900107250e+07 -1.658020481825630926e+07 1.629999999999999893e+00
-1.658020481825630926e+07 1.655719749612512242e+05 -1.520000000000001072e-01 1.000000000000000000e+03 -1.657919092558792792e+07 -1.657919798584316485e+07 5.999999999999999778e-02
-1.657919798584316485e+07 9.682230430639463884e+04 -1.530000000000001081e-01 1.000000000000000000e+03 -1.656999983903491311e+07 -1.657000690029015020e+07 6.959999999999999520e-01
-1.657000690029015020e+07 4.595873122717782280e+03 -1.540000000000001090e-01 1.000000000000000000e+03 -1.651432648488507606e+07 -1.651433354714031331e+07 6.360000000000000098e-01
-1.651433354714031331e+07 2.952820045507678515e+04 -1.550000000000001099e-01 1.000000000000000000e+03 -1.650219546666552871e+07 -1.650220252992076613e+07 1.700000000000000122e-01
-1.650220252992076613e+07 1.873506956489243021e+04 -1.560000000000001108e-01 1.000000000000000000e+03 -1.639520850380521268e+07 -1.639521556806045026e+07 1.782000000000000028e+00
-1.639521556806045026e+07 5.742650893261840247e+04 -1.570000000000001117e-01 1.000000000000000000e+03 -1.612836206762221083e+07 -1.612836913287744857e+07 4.000000000000000222e-01
