Teff logg R Av
3.215001328644834757e+03 4.764841331483189890e+00 5.464904938559408398e-01 1.914858864328589316e+00
3.252055089931307521e+03 4.840931924925524044e+00 5.354311862247624898e-01 1.779547506461630846e+00
3.292587280745925455e+03 4.720344565846612994e+00 5.314630524352520480e-01 1.919342364025699910e+00
3.216524512775600670e+03 4.559643641990667184e+00 5.397960273132371700e-01 1.848185345288408499e+00
3.267944565630846228e+03 4.542187273562343641e+00 5.283040333418249634e-01 1.831822968731342538e+00
3.316515684166643950e+03 4.797946909824317707e+00 5.200571955370549837e-01 1.799947160603117435e+00
3.275782254308689517e+03 4.669049550402947446e+00 5.285449949625106170e-01 1.836887472709686886e+00
3.341565156202751950e+03 4.521622426000918793e+00 5.068193787817061313e-01 1.732492828073185498e+00
3.167747668402004820e+03 4.750613117065558555e+00 5.478149624486895464e-01 1.789626892552478310e+00
3.236932018959430934e+03 4.688919952382029521e+00 5.425067451760182680e-01 1.930000579337705524e+00
3.223253349536051246e+03 4.480074432900304160e+00 5.373045403652931817e-01 1.834865075859416716e+00
3.275481869489442033e+03 4.547101079141556035e+00 5.227250032415694525e-01 1.772832947997605491e+00
3.332324249208708807e+03 4.885568874621367463e+00 5.215746309566733352e-01 1.872868610819391488e+00
3.202959371393510537e+03 4.607281194981104555e+00 5.427147558338593081e-01 1.861554286214886833e+00
3.293863268122348472e+03 4.361969390321938533e+00 5.192253957728719671e-01 1.832241264331129216e+00
3.253109325355453166e+03 4.338949551327979215e+00 5.248957231942533719e-01 1.749887010560992273e+00
3.217713369786920339e+03 4.799876832527928627e+00 5.446095441413570937e-01 1.909119594758094118e+00
3.258281423211754372e+03 4.499901578607675035e+00 5.301444621167350491e-01 1.827500779803021613e+00
3.301048975878391502e+03 4.570774916278071309e+00 5.187238000035065966e-01 1.745824075215591353e+00
3.259733455510125168e+03 4.646497935224916276e+00 5.275010576828264020e-01 1.830200941179567442e+00
3.298931963335293403e+03 4.495581254092519963e+00 5.235095750270152282e-01 1.841488415698819381e+00
3.196366972391945637e+03 4.752588245528179378e+00 5.343585921241575942e-01 1.736287534946504563e+00
3.249895083488256660e+03 4.585902034043327191e+00 5.339400741823659979e-01 1.869975027108576882e+00
3.282235930477988404e+03 4.679501215437211314e+00 5.248194018765935942e-01 1.862271081412718798e+00
3.282168466003692174e+03 4.698813358242681204e+00 5.238750659252869868e-01 1.782036155027093116e+00
3.233125910788929104e+03 4.543860334512073607e+00 5.311464987184369990e-01 1.761276659551783697e+00
3.289763390555817750e+03 4.617847566355130162e+00 5.190729744902098375e-01 1.718661356681552732e+00
3.238546525069056315e+03 4.663729624299441490e+00 5.325879154347070710e-01 1.839458173542687591e+00
3.260191709691970573e+03 4.612628432193742967e+00 5.289772048287031403e-01 1.832694643465871076e+00
3.216801647688369485e+03 4.763829519657644340e+00 5.494826852920886573e-01 1.972343968477131337e+00
3.314769687020270794e+03 4.537540791982647370e+00 5.135877107845766565e-01 1.750178171338152788e+00
3.348216417174242451e+03 4.603718705593471405e+00 5.080981673180746672e-01 1.769386766260426791e+00
3.263374204404220563e+03 4.519650211350505487e+00 5.356451338721103239e-01 1.932186670004527373e+00
3.263802410732095268e+03 4.807291661350809875e+00 5.356315161377133149e-01 1.931443584774889199e+00
3.262595987175614937e+03 4.673395998867858836e+00 5.376384267245047921e-01 1.939088944294137917e+00
3.251001377703590606e+03 4.860796762506359059e+00 5.356364465320954116e-01 1.927627019573094902e+00
3.222185643673774393e+03 4.504124273109233911e+00 5.404619464148301411e-01 1.899460147546953692e+00
